HomeTeam,AwayTeam
Strasbourg,Paris SG
Lyon,Reims
Montpellier,Marseille
Brest,Lille
Strasbourg,Dijon
Nantes,Nimes
Toulouse,Metz
Amiens,Angers
Bordeaux,Rennes
Monaco,St Etienne
Paris SG,Nice
Lille,Monaco
Rennes,Lyon
Nice,Montpellier
Nimes,Bordeaux
Angers,Toulouse
Metz,Brest
Dijon,Amiens
St Etienne,Strasbourg
Reims,Nantes
Marseille,Paris SG
Montpellier,Lille
Toulouse,St Etienne
Monaco,Nantes
Strasbourg,Angers
Bordeaux,Reims
Dijon,Nice
Amiens,Rennes
Lyon,Nimes
Paris SG,Metz
Brest,Marseille
Nantes,Lyon
Angers,Paris SG
Nice,Strasbourg
St Etienne,Rennes
Metz,Lille
Brest,Monaco
Marseille,Dijon
Nimes,Montpellier
Reims,Toulouse
Bordeaux,Amiens
Paris SG,St Etienne
Monaco,Bordeaux
Lille,Nice
Toulouse,Nantes
Strasbourg,Brest
Rennes,Metz
Montpellier,Reims
Dijon,Angers
Amiens,Nimes
Lyon,Marseille
Lyon,Monaco
Rennes,Strasbourg
Marseille,Nice
Bordeaux,Toulouse
Reims,Paris SG
Nimes,Lille
St Etienne,Angers
Brest,Montpellier
Nantes,Amiens
Metz,Dijon
Strasbourg,Marseille
Montpellier,Bordeaux
Monaco,Metz
Paris SG,Brest
Nice,Nantes
Dijon,Lyon
Lille,Reims
Angers,Rennes
Toulouse,Nimes
Amiens,St Etienne
Marseille,Monaco
Lyon,Montpellier
Toulouse,Paris SG
St Etienne,Lille
Nimes,Strasbourg
Bordeaux,Angers
Nantes,Brest
Metz,Nice
Rennes,Dijon
Reims,Amiens
Strasbourg,Bordeaux
Paris SG,Rennes
Monaco,Toulouse
Angers,Lyon
Marseille,Metz
Montpellier,Nantes
Nice,St Etienne
Lille,Amiens
Brest,Nimes
Dijon,Reims
Nantes,Strasbourg
Bordeaux,Lille
Rennes,Monaco
Nimes,Paris SG
Lyon,Brest
Reims,Marseille
Toulouse,Montpellier
St Etienne,Dijon
Metz,Angers
Amiens,Nice
